Source-Name; Coordinates
Parchim; 53.416667, 11.833333
Berlin; 52.516667, 13.388889
Vladimirovac; 45.047222, 20.882222
Belgrad; 44.816667, 20.466667
Bitterfeld; 51.626389, 12.327778
Zamosz; 50.716667, 23.252778
Wlodzimierz; 50.848056, 24.322222
Luzk; 50.75, 25.335833
Rowno; 50.616667, 26.25
Korec; 50.617222, 27.1775
Zwiahel; 50.583333, 27.633333
Shitomir; 50.25, 28.666667
Fastow; 50.083333, 29.916667
Wassilow; 50.178333, 30.315833
Besraditschi
Nowoje-Besraditschi; 50.171702, 30.597417
Pljuti; 50.170219, 30.719508
Obuchow; 50.110184, 30.629569
Krasnoje; 50.079356, 30.673039
Wassilkow; 50.178333, 30.315833
Kiew; 50.45, 30.523333
Borispol; 50.35, 30.95
Taschani; 50.046351, 31.840470
Jablonewo; 49.960155, 32.522676
Lubny; 50.016667, 33
Kibintzi; 49.955815, 33.457033
Mirgorod; 49.966667, 33.6
Borki; 50.119555, 34.157006
Kusemin; 50.141544, 34.653785
Kotelwa; 50.064356, 34.749489
Kuplanowka; 50.168822, 35.112035
Jablonowka
Polkowaja; 50.155913, 35.318980
Bogoduchow; 50.166667, 35.516667
Dolschik; 50.200409, 35.944591
Dergatschi; 50.116667, 36.116667
Charkow; 50.004444, 36.231389
Starij Saltow; 50.078324, 36.789503
Passekowka; 50.102563, 36.840624
Schewtschenkowo; 50.117027, 36.926908
Romodan; 49.991667, 33.325
Kremtschug; 49.066667, 33.416667
Poltawa; 49.589444, 34.551389
Wechnij Bischkin; 49.484887, 36.334355
Nishne Bischkin; 49.527509, 36.406635
Hof Belikow; 49.464474, 36.449275
Kisseli; 49.430120, 36.436333
Alexejewskoje; 49.394061, 36.279681
Bereka; 49.473795, 36.198513
Nepokrytaja; 50.074862, 36.620479
Pestschanoje; 50.037486, 36.673438
Iwanowka; 49.633496, 36.902948
Michailowka; 49.663231, 36.918201
Wesseloje; 50.173969, 36.527724
Zirkuny; 50.080763, 36.378140
Burluk; 50.040730, 37.398606
Polassnoje; 50.096329, 37.783819
Waluiki; 50.216667, 38.1
Rowenki; 49.918611, 38.903611
Koslow; 49.862689, 39.161246
Taly; 49.847856, 40.077534
Bogustchar; 49.95, 40.55
Dolshik; 50.314963, 39.966529
Duchowoje; 50.3056, 39.954
Kurenye; 50.348202, 39.841363
Urasowo; 50.082222, 38.038333
Kupjansk; 49.716667, 37.583333
Lemberg; 49.83, 24.014167
Rossosch; 50.2, 39.55
Wakulin; 50.2969, 39.8124
Wien; 48.2, 16.366667
Straubing; 48.883333, 12.566667
Hannover; 52.366667, 9.716667
Dresden; 51.033333, 13.733333
Minsk; 53.9, 27.566667
Orscha; 54.509167, 30.425833
Gorki; 54.283333, 30.983333
Dobraja; 54.189886, 30.942221
Krukowtschina; 54.182593, 31.054440
Poljaschitza; 54.260881, 31.110177
Korolewka; 54.219237, 31.023652
Kusowina; 54.208940, 31.039704
Klednewitschi; 54.173376, 31.117571
Kamenka; 53.921691, 30.559577
Molodetschno; 54.320833, 26.857222
Wolkowysk; 53.166667, 24.466667
Warschau; 52.216667, 21.033333
Barischewka; 53.876228, 31.087185
Prilepowka; 53.856792, 31.089822
Mogilew; 53.916667, 30.35
Baranowitschi; 53.133333, 26.016667
Brest-Litowsk; 52.133333, 23.666667
Deblin; 51.566667, 21.861389
Luboml; 51.223611, 24.032778
Kamiencia; 51.200000, 24.183333
Widuty; 51.184611, 24.365997
Ruzyn; 51.155534, 24.552134
Milanowicye; 51.184866, 24.444768
Cerkasy; 51.239326, 24.605375
Kowel; 51.216667, 24.716667
Stare Koscary; 51.228836, 24.521715
Janowka; 51.1536012, 24.3312816
Dolsk; 51.12180, 24.38437
Sosnowka; 51.123402, 24.347646
Dorohusk; 51.166667, 23.816667
Chelm; 51.133333, 23.483333
Tarnow; 50.0125, 20.988611
Jungbunzlau; 50.4125, 14.904444
Dortmund; 51.516667, 7.466667
Leisnig; 51.166667, 12.916667
Krakau; 50.061389, 19.937222
Zawichost; 50.8, 21.85
Wygoda-Bankowa; 50.793817, 21.757396
Sobotka; 50.795833, 21.675
Lukawa; 50.763889, 21.701111
Opatow; 50.805, 21.424722
Chrapanow; 50.836944, 21.728889
Grochocice; 50.814167, 21.631944
Schieratz; 51.6, 18.75
Kalisch; 51.766667, 18.083333
Posen; 52.4, 16.916667
Eschwege; 51.188056, 10.052778
Worms; 49.631944, 8.365278
Biblis; 49.7, 8.466667
Foucarville; 49.4425, -1.2556
Attichy; 49.411, 3.048
Münster; 51.9625, 7.625556
Arnsbertg; 51.383333, 8.083333
