Source-Name; Coordinates
Insterburg; 54.634722, 21.811944
Stablack; 54.3204, 20.45536
Rowno; 50.616667, 26.25
Krementschug; 49.066667, 33.416667
Rostow; 47.233333, 39.7
Oblivskaya; 48.543113, 42.499793
Kalatsch am Don; 48.7, 43.516667
Businowka; 48.493670, 43.895470
Tennisschläger; 48.738793, 44.546265
Karpowka; 48.704595, 43.977250
Sredne; 48.582881, 43.794071
Ssowjetskij; 48.635115, 43.720980
Rytschow; 48.471192, 43.262515
Nemkowskij; 48.375661, 43.245761
Nishne Tschirskaja; 48.375537, 43.084503
Morosowskaja; 48.35, 41.833333
Luhansk; 48.566667, 39.3
Tarnopol; 49.55, 25.58
Krakau; 50.061389, 19.937222
Bad Salzbrunn; 50.799444, 16.255
Radom; 51.403611, 21.156667
Flers; 48.7518, -0.5605
Landeck; 47.133333, 10.566667
Meran; 46.666667, 11.166667
Bozen; 46.5, 11.35
Trient; 46.066667, 11.116667
Verona; 45.433333, 10.983333
Cavazzona; 44.573155, 11.113882
Modena; 44.646944, 10.925556
Castagnolo; 43.669338, 10.359098
Ferrara; 44.833333, 11.616667
Padua; 45.416667, 11.866667
Udine; 46.066667, 13.233333
Triest; 45.633333, 13.8
Cosina; 45.609111, 13.936547
Buje; 45.416667, 13.666667
Pinguente; 45.416667, 13.966667
Rozzo; 45.4, 14.05
Abbazia; 45.334711, 14.306861
Pisino; 45.240278, 13.936667
Parenza; 45.227222, 13.595833
Tomadio; 45.75585, 13.856719
Laibach; 46.055556, 14.508333
Wien; 48.2, 16.366667
Kirowograd; 48.5, 32.266667
Scharowka; 48.501653, 32.794548
Nowaja Praga; 48.557222, 32.890278
Sspassowo; 48.411016, 33.036604
Wodjana; 48.347479, 33.097390
Krassno-Konstantinowka; 48.267301, 33.208373
Ternowatka; 48.138847, 33.340585
Nedai Woda; 48.138315, 33.373931
Sarja; 48.154305, 33.457516
Wechnyj Rogatschik; 47.241389, 34.36
Dnjeprowka; 47.430278, 34.612222
Wodjanoje; 47.478978, 34.504005
Prymiske; 47.607733, 34.342453
Rachel-WD; 47.459229, 34.539625
Stachanow; 47.399502, 34.618146
Apostolowo; 47.659444, 33.716667
Schirokoje; 47.684444, 33.272778
Nikolajewka; 47.748125, 32.852077
Slatopol; 47.7405496, 32.2208689
Olgopol; 47.725573, 32.137423
Chutor Wessely; 47.6462291, 31.9773222
Bolschoje Ssolenoje; 47.634758, 31.711531
Wassiljewka; 47.5741840, 31.6463540
Nowyj Grigorjewskij; 47.5793300, 31.5380920
Nowyj-Grigorjewsk; 47.5065186, 31.4262448
Wosnessensk; 47.566667, 31.3
Kischinew; 47.022887, 28.835335
Nisporeni; 47.083333, 28.183333
Horlesti; 47.109273, 27.374638
Jassy; 47.156944, 27.590278
Yulturul; 47.247622, 27.537532
Carligul; 47.213832, 27.556833
Wald-Horlesti; 47.241152, 27.497990
Budapest; 47.4925, 19.051389
Banu; 47.190252, 27.370688
Popesti; 47.15, 27.25
Roman; 46.93, 26.93
Jaroslau; 50.016667, 22.666667
Wola Pelinska; 50.083333, 22.616667
Reichshof; 50.033333, 22
Mielec; 50.283333, 21.416667
Szczucin; 50.3, 21.066667
Rataje Karskie; 50.341944, 21.042222
Grottkau; 50.7, 17.383333
Nemmersdorf; 54.52, 22.065556
Litzmannstadt; 51.776944, 19.454722
Berlin; 52.516667, 13.388889
Hamburg; 53.565278, 10.001389
Aarhus; 56.1572, 10.2107
Stettin; 53.4325, 14.548056
Schwerin; 53.633333, 11.416667
Magdeburg; 52.133333, 11.616667
Halle; 51.483333, 11.966667
Jena; 50.927222, 11.586111
Eger; 50.079444, 12.370556
Marienbad; 49.964444, 12.701111
