date; place
17.10.1942; Stablack; t
18.10.1942; Rowno; t?
23.10.1942; Krementschug; t
25.10.1942; Rostow; t
26.10.1942; Oblivskaya; t
29.10.1942; Kalatsch am Don; t
31.10.1942; Businowka; t
13.11.1942; Businowka
13.11.1942; Tennisschläger
14.11.1942; Businowka
21.11.1942; Businowka
21.11.1942; Sredne; f
21.11.1942; Ssowjetskij; f
22.11.1942; Kalatsch am Don; f
23.11.1942; Rytschow; f
13.12.1942; Rytschow
14.12.1942; Nemkowskij; f
16.12.1942; Nishne Tschirskaja; v
17.12.1942; Morosowskaja; v
20.12.1942; Luhansk; v?
22.12.1942; Krementschug; v?
22.12.1942; Tarnopol; v?
28.12.1942; Krakau; v
29.12.1942; Bad Salzbrunn; v
21.01.1943; Bad Salzbrunn; v
23.01.1943; Insterburg; t
02.05.1943; Insterburg; t
03.05.1943; Radom; u
23.05.1943; Radom; u
01.06.1943; Insterburg; t
11.07.1943; Insterburg; t
13.07.1943; Flers; t
14.08.1943; Flers
15.08.1943; Landeck; t
15.08.1943; Meran; t
16.08.1943; Bozen; t
16.08.1943; Trient; t
16.08.1943; Verona; t
16.08.1943; Cavazzona; t
16.08.1943; Modena
17.08.1943; Modena
14.09.1943; Castagnolo; t
20.09.1943; Castagnolo
21.09.1943; Ferrara; t
22.09.1943; Padua; t
22.09.1943; Udine; t
22.09.1943; Triest; t
25.09.1943; Cosina
27.09.1943; Buje; kz
29.09.1943; Pinguente; kz
02.10.1943; Rozzo; kz
05.10.1943; Abbazia; kz
08.10.1943; Pisino; kz
10.10.1943; Parenza; kz
12.10.1943; Tomadio; t
13.10.1943; Tomadio; t
17.10.1943; Laibach; t
19.10.1943; Wien; t
22.10.1943; Tarnopol; t?
24.10.1943; Kirowograd; t?
28.10.1943; Scharowka; t
28.10.1943; Nowaja Praga
29.10.1943; Sspassowo
29.10.1943; Wodjana
30.10.1943; Krassno-Konstantinowka
30.10.1943; Ternowatka
31.10.1943; Nedai Woda
01.11.1943; Sarja
03.11.1943; Sarja
05.11.1943; Wechnyj Rogatschik; t
06.11.1943; Wechnyj Rogatschik
07.11.1943; Dnjeprowka; t
03.01.1944; Dnjeprowka
04.01.1944; Wodjanoje; t
13.01.1944; Wodjanoje
14.01.1944; Prymiske; t
15.01.1944; Rachel-WD; t
16.01.1944; Stachanow
16.01.1944; Wodjanoje
22.01.1944; Wodjanoje
31.01.1944; Apostolowo; t
02.02.1944; Schirokoje; t
14.03.1944; Slatopol; f
15.03.1944; Olgopol; f
16.03.1944; Chutor Wessely; f
17.03.1944; Bolschoje Ssolenoje; f
19.03.1944; Wassiljewka; f
19.03.1944; Nowyj Grigorjewskij; f
20.03.1944; Nowyj-Grigorjewsk; f
21.03.1944; Wosnessensk; f
26.03.1944; Wosnessensk; f
27.03.1944; Kischinew; t
28.03.1944; Kischinew
30.03.1944; Nisporeni
01.04.1944; Horlesti
02.04.1944; Yulturul
04.04.1944; Jassy
27.04.1944; Carligul
28.04.1944; Jassy
29.04.1944; Wald-Horlesti
30.04.1944; Jassy
11.05.1944; Jassy
14.05.1944; Insterburg; u
03.06.1944; Insterburg; u
05.06.1944; Wien; u
06.06.1944; Budapest; u
08.06.1944; Banu; u
22.06.1944; Banu
27.06.1944; Popesti; t
17.07.1944; Popesti
18.07.1944; Roman; t
21.07.1944; Jaroslau; t
22.07.1944; Wola Pelinska
25.07.1944; Wola Pelinska
27.07.1944; Reichshof
04.08.1944; Mielec
05.08.1944; Szczucin
06.08.1944; Rataje Karskie
08.08.1944; Grottkau; v
30.08.1944; Grottkau; v
04.09.1944; Insterburg; t
21.10.1944; Insterburg
21.10.1944; Nemmersdorf
27.10.1944; Nemmersdorf
27.10.1944; Litzmannstadt
07.01.1945; Litzmannstadt
08.01.1945; Berlin; t
09.01.1945; Hamburg; t
10.01.1945; Aarhus; t
08.03.1945; Aarhus;
15.03.1945; Hamburg; t
17.03.1945; Hamburg; t
19.03.1945; Stettin; t
26.03.1945; Stettin; vf
26.03.1945; Schwerin; vf
29.03.1945; Schwerin; vf
01.04.1945; Magdeburg; vf
05.04.1945; Halle; vf
06.04.1945; Jena; vf
12.04.1945; Jena; vf
14.04.1945; Eger; vf
16.04.1945; Marienbad; vf
11.06.1945; Marienbad;
