Source-Name; Coordinates
Bad Kissingen; 50.2, 10.066667
Prag; 50.083333, 14.416667
Gleiwitz; 50.283333, 18.666667
Lysa Gory; 50.841111, 21.056667
Lodz; 51.776944, 19.454722	
Warschau; 52.233333, 21.016667
Heimersheim; 50.542795, 7.176616
Dernau; 50.534167, 7.0425
Vogelsang; 50.584444, 6.448056
Dinant; 50.266667, 4.916667
Sivry; 50.15, 4.216667
Avesnes; 50.1244, 3.9267
Cambrai; 50.1767, 3.2356
St. Quentin Kanal; 50.1158, 3.2106
Arras; 50.292, 2.78
Lille; 50.6278, 3.0583
Lomme; 50.6358, 3.0142
Rouen; 49.44, 1.1
Fecamp; 49.76, 0.38
Caen; 49.18, -0.37
Rennes; 48.1147, -1.6794
Cherbourg; 49.63, -1.62
Nantes; 47.2181, -1.5528
La Rochelle; 46.1591, -1.1517
Rochefort; 45.9421, -0.9588
Gironde; 44.9956, -0.4447
Bordeaux; 44.84, -0.58
Arcachon; 44.65, -1.17
Le Vesinet; 48.8923, 2.1331
Flensburg; 54.781944, 9.436667
Paris; 48.8567, 2.3508
Heimerzheim; 50.716667, 6.916667
Bonn; 50.733333, 7.1
Insterburg; 54.634722, 21.811944
Olita; 54.401389, 24.049167
Wilna; 54.683333, 25.283333
Minsk; 53.9, 27.566667
Smolensk; 54.782778, 32.045278
Jarcewo; 55.066667, 32.7
Wolokolamsk; 56.033333, 35.95
Klin; 56.333333, 36.733333
Jachroma; 56.283333, 37.483333
Grodno; 53.666667, 23.833333
Posen; 52.4, 16.916667
Stahnsdorf; 52.392222, 13.216667
Berlin; 52.516667, 13.388889
Rom; 41.9, 12.5
Brindisi; 40.633333, 17.933333
Kreta; 35.21, 24.91
Derna; 32.766667, 22.633333
Bir-el Harmat; 31.616667, 23.466667
Neapel; 40.845, 14.258333
Eßlingen; 48.733333, 9.316667
Sizilien; 37.566667, 14.266667
Tobruk; 32.083333, 23.966667
Siwa; 29.190556, 25.549167
Giarabub; 29.7425, 24.516944
Agedabia; 30.75, 20.216667
Nofilia; 30.783056, 17.833056
Süd Homs; 32.443576, 13.367595
Tarhuna; 32.433889, 13.634444
Tataouine; 32.933333, 10.45
Kasserinepaß; 35.2596, 8.7424
Tunis; 36.806389, 10.181667
Berchtesgaden; 47.631389, 13.004167
München; 48.133333, 11.566667
Hamburg; 53.565278, 10.001389
Sachsenhausen; 52.765833, 13.264167
La Roche Guyon; 49.0822, 1.6303
Nogent-le-Rotrou; 48.321667, 0.821667
Bellengreville; 49.1256, -0.21
